english	telugu
ప్రోత్సాహకాలు లేకపోవడం	Lack of Incentives
డీవీవీ దానయ్య అత్యంత భారీ బ‌డ్జెట్‌తో…భారీ కాస్టింగ్‌తో ఈ చిత్రాన్ని నిర్మిస్తున్నారు.	The film is produced by DVV Danayya and is made on a massive budget.
మరెప్పుడూ దొంగతనం చేయనని ప్రమాణం చేస్తున్నాను.	I promise I will never beat you again.
విలువైన బహుమతులు ఇవ్వవలసిన అవసరం లేదు, ఇవ్వాలని ఆశించకూడదు కూడా.	Costly gifts are not needed, nor should they be expected.
గుమ్మడిదలలో అనేక దేవాలయాలు ఉన్నాయి.	There are many Temples in Gozaria.
70 ఏళ్లు పైబడిన ఆ యావ తగ్గలేదు.	None of them crossed the age of 70.
మీరు దాన్ని చూడలేరు?	Cant you see that?
కనుచూపు మేరలో ఎవరూ కనిపించడం లేదు.	Theres no one in sight.
కుండల ఉంది.	There is a pot.
ఇలా మాట్లాడటానికి నీకు తప్పుగా అనిపించట్లేదా?	Arent you ashamed of talking like that?
ప్రముఖంగా తమిళ, తెలుగు, కన్నడ, మలయాళ, హిందీ భాషల్లో పాటలు పాడాడు.	He has been a prominent singer in Hindi, Tamil, Telugu, Kannada, Malayalam, Marathi, Bengali and Gujarati languages films.
రాఫెల్, విజయ్ మాల్యా, లలిత్ మోదీ, నోట్ల రద్దు, గబ్బర్ సింగ్ ట్యాక్స్ అన్నిటిలో మోసం ఉందని రాహుల్ ఆరోపించారు.	"Citing Rafale deal, Vijay Mallya and Lalit Modi fleeing the country, demonetisation and GST, Rahul said ""there is foulplay in everything""."
డెంటల్ ఆరోగ్యం.	Dental health
ఇశ్రాయేలీయుల పర్వతములారా, ప్రభు వైన యెహోవా మాట ఆలకించుడి. పర్వతములతోను కొండలతోను వాగులతోను లోయలతోను ప్రభువైన యెహోవా ఈలాగు సెలవిచ్చుచున్నాడుఇదిగో నేను నిజముగా మీ మీదికి ఖడ్గమును రప్పించి మీ ఉన్నత స్థల ములను నాశనము చేసెదను.	And say, Ye mountains of Israel, hear the word of the Lord GOD. Thus saith the Lord GOD to the mountains, and to the hills, to the rivers, and to the valleys. Behold, I, even I, will bring a sword upon you, and I will destroy your high places.
దో జ‌రుగుతోంద‌నే భావ‌న స్ప‌ష్టంగా క‌నిపిస్తోంది.	Clearly, something is going on.
అంతేకానీ అది ఎన్నడూ తన గుడ్లను విడిచివెళ్లదు.	She scoops out a hollow in the sand and lays her eggs there. But this bird does not abandon the eggs.
ఆ సొమ్ము తమకే చెందాలని నిజాం వారసులు పేర్కొంటుండగా, వాటిపై హక్కు తమకే ఉందని పాకిస్తాన్ వాదిస్తోంది.	The Nizams descendants, supported by India, claimed it belongs to them but Pakistan said it is rightfully theirs.
ఆ జాబితాలో పేరు లేకపోతే ఓటరు ఐడీ కార్డున్నా ఓటు వేయడానికి అవకాశం ఉండదు.	A voter would not be eligible to vote without the name being enrolled in the voters list.
తల్లిదండ్రులు మరియు వ్యక్తిగత జీవితం	Family and personal life
ఇది చాలా చిన్న పిల్లలలో చాలా తరచుగా జరుగుతుంది.	It is very common among young children.
అయినా ఎందుకు అధికారులు పట్టించుకోవటం లేదు,’ని ఆయన జగన్ ప్రశ్నించారు.	Why did not officials act then? he asked.
న్యూఢిల్లీ: పెట్రోల్, డీజిల్ ధరలు పెంచి కేంద్రంలోని బిజెపి ప్రభుత్వం ప్రజల్ని దోపిడీ చేస్తోందని కాంగ్రెస్ అధ్యక్షురాలు సోనియాగాంధీ విమర్శించారు.	"Attacking the led Central government over the rising prices of petrol and diesel prices, Congress President Sonia Gandhi accused the BJP regime of ""extorting money from people"" and sought an immediate rollback of the increase in prices of petroleum products."
అంతర్- నిర్మిత అన్‌థీమ్‌డ్ మోటిఫ్ శైలిName	Built-in unthemed Motif style
9 మంది పేకాటరాయుళ్ల అరెస్ట్	9 suspects arrested...
దీంతో ప్రభుత్వానికి ఎదురుదెబ్బ తగిలినట్లయింది.	This had flabbergasted the government.
వచ్చిన సినిమాలు చేసుకుంటూ వెళ్లడమే.	Coming to movies.
యువతిని ఎంజిఎం ఆసుపత్రికి తరలించారు.	They were taken to MGM hospital.
గురించి పెద్దగా చెప్పనవసరం లేదు.	I don't need to say much.
పాఠాలు నేర్చారు.	Lessons were learnt.
ఇదిగో పేర్లు	Here are their names with
దీంతో అతడు దెబ్బకు తన ట్వీట్‌ను డిలీట్ చేసుకున్నాడు.	He later deleted his tweet.
కరాచి: ఇప్పటికే టెస్టు, టీ20ల్లో కెప్టెన్సీ కోల్పోయిన పాకిస్థాన్ వన్డే కెప్టెన్ సర్ఫరాజ్‌ అహ్మద్‌కు మరో షాక్‌ తగలనుంది.	Karachi: Sarfaraz Ahmed has been sacked as Pakistan's Test and T20I skipper.
ఈ విద్యాలయం 23 ఎకరాల భూమిని ఇచ్చారు.	This land measures 23 acres.
ఎవరు, ఎవరితో మాట్లాడారు?	Who were they talking to?
వీరిలోని లక్షణాలు ఈ విధంగా ఉంటాయి.	These features are as follows:
పర్యాటకులతో వెళ్తున్న ప్రైవేటు బస్సు అదుపుతప్పి లోయలో పడిపోవడంతో ఈ ప్రమాదం జరిగింది.	The accident occurred when a private bus overturned and fell into a ditch.
అన్ని రంగాలలో మోడీ ప్రభు త్వం ఘోరంగా విఫలం అయిందని కాంగ్రెస్ పేర్కొంది.	"""Modi government is a failure in all fields."
2400 కోట్లు.	2400 crore.
ఆయనకు స్క్రిప్ట్ నచ్చింది.	He liked the script.
ఆశల ఊసులు!	Fond hopes!
ఎస్టెన్ను తన గిటార్ విధి నిర్వహణకు సంబంధించి తీవ్ర విమర్శలకు గురయ్యాడు.	Sandy can glide over large gaps with her lasso.
అందుకు ప్రభుత్వ సహకారం కూడా కావాలి.	It needs help from the Government.
హిందువులు, ముస్లిములు కూడా ఉండే ఈ థగ్గులు కాళికాదేవిని పూజించేవారు.	Among donkeys and monkeys we also do not find such things.
వాళ్ళను తప్పు పట్టలేం.	They cant be wrong.
అవి నెరవేర్చడంలో బిజెపి ప్రభుత్వం విఫలమైంది' అంటాడు ప్రవీణ్‌ తొగాడియా.	"The BJP government is a failure,"" she said."
మున్నూరు కాపులకు కార్పొరేషన్‌ ఏర్పాటు చేసి, రూ.	The corporation has made a provision of Rs.
ఒకరితో పోల్చలేం మరొకరితో పూడ్చలేం.	You cannot compare one with another.
ఈ క్రమంలో ఇరు పార్టీల కార్యకర్తల మధ్య ఘర్షణ జరిగింది.	A calsh took place between the two parties workers.
ఆయన స్వతహాగా రచయిత.	He is a writer.
జన సాంద్రత - ఒక ఆవాసంలో నిర్దిష్టమైన వైశాల్యం లేదా ఘన సాంద్రతలో నివశించే జీవుల సంఖ్యను జన సాంద్రత అంటారు.	IT CALCULATED BY WIDTH OF AREA THEY LIVED.
రికవరీ రేటు దేశవ్యాప్తంగా 93.68 ఉంటే మన రాష్ట్రంలో 97.86గా ఉంది	The recovery rate in the state rose further to 77.67 per cent in the state, while it was 74.90 per cent in the country
బందోబస్తుపై సూచనిలిస్తున్న పోలీసు అధికారి	Police officer
బ్యూటీ లెజెండ్‌: షర్మిలా ఠాగూర్‌	Beauty Legend: Sharmila Tagore
కేసీఆర్‌తో పాటు మంత్రులు హరీష్‌రావు, కేటీఆర్‌, ఈటెల రాజేందర్‌ పాల్గొననున్నారు.	Ministers K T Rama Rao, Harish Rao, Eetala Rajender and Prashant Reddy were among those who accompanied KCR on this visit.
ఆమె విచారం స్పష్టంగా ఉంటుంది.	She is understandably upset.
ధోనీ 199 వన్డేలు, 72 ట్వంటీ 20లకు కెప్టెన్‌గా వ్యవహరించాడు.	He captained India in 199 ODIs and 72 T20Is.
తర్కశక్తిని ఉపయోగిస్తూ దాని గురించి జాగ్రత్తగా, ప్రార్థనాపూర్వకంగా తలంచాము.	It was carefully and prayerfully thought through, using the power of reason.
నిరాకరణ: ఈ వ్యాసం సాధారణ సమాచారం ప్రయోజనాల కోసం మాత్రమే.	Disclaimer: This information is for general information purpose only.
ఇద్దరి మధ్య గొడవలు తలెత్తాయి.	A fight broke out between the two.
సమావేశం ఏర్పాటు చేశారు.	A meeting was set up.
అందుకు ఎంతకాలం పట్టినా.	How long did it take?
చాలా త్వరగా పెరిగేస్తా.	Its growing very fast.
అర్థం చూపించావు	not making sense to
థర్డ్‌ పార్టీ బీమా అనేది, వాహనదారుడు, అతని వాహనం కారణంగా మూడో పార్టీకి కలిగిన నష్టానికి పరిహారం చెల్లించేది.	Third-party insurance provides cover for damages caused to property or vehicle of a third party due to your vehicle.
వాహనాలకు, రైళ్ళకు తీవ్ర అవరోధం ఏర్పడింది.	Road and rail links have been severely affected.
వారికి నగరాలలో ఉన్న పెద్ద ఆస్పత్రులకు వెళ్లాల్సిన అవసరం రాదు.	They wont need to go to hospitals for small diseases.
దీని పైన పోలీసులు విచారణ జరుపుతున్నారు	The incidents are under police investigation
క్షతగాత్రులు త్వరగా కోలుకోవాలని ఆశాభావం వ్యక్తం చేశారు.	Hope the injured will recover soon.
కాగా పట్టుబడ్డ నిందితుల ందరిని తదుపరి విచారణ కోసం హయత్‌నగ ర్ పోలీసులకు అప్పగించారు.	However the accused persons were handed over to Shahinayatgunj police for further investigation.
గ్రేట్ ఎంపిక.	Great choice.
ఇక దీనికి సంబందించిన ఓ వార్త ఇప్పుడు సోషల్ మీడియాలో వైరల్ అవుతుంది.	This piece of news is going viral on social networks.
దీంతో సమాజం కుళ్లి పోతోంది’ అని ధ్వజమెత్తారు.	"Society gets terrorised this way."""
ఎలాంటి అవాంచనీయ ఘటనలు జరగకుండా పోలీసులు భారీ బందోబస్తు నిర్వహిస్తారు.	The police are on a high alert to thwart any untoward incidents.
కోటి కావాలట!	Thousand crore!
కాలేయ సంబంధిత సమస్యల్ని కూడా తగ్గిస్తుంది.	It also helps with problems of the liver.
వై: వెళ్ళూ!	Me: Come on!
అసెంబ్లీలో గవర్నర్‌ ప్రసంగానికి ధన్యవాదాలు తెలిపే తీర్మానం సందర్భంగా ఈ విషయంపై యడియూరప్ప పై వ్యాఖ్యలు చేశారు.	Yediyurappa made the remarks on the issue during a resolution thanking the Governor for his speech in the Assembly.
మమ్మల్ని చాలా బాగా చూసుకున్నారు.	They took very good care of us.
1917 సినిమా వార్ బ్యాక్ డ్రాప్ లో వచ్చిన సినిమాల్లో ఒక ఆణిముత్యం.	'1917' is a war film based on the first world war.
ఈ కార్యక్రమంలో వైసిపి నేతలు విజయసాయి రెడ్డి, ఆవంతి శ్రీనివాస్ తదితరులు పాల్గొన్నారు.	MP Vijayasayeddy, Avanthi Srinivasa Rao and other party leaders were present on the occasion.
ఉల్లిపాలు : 2(సన్నని ముక్కలుగా కట్ చేసుకొన్నవి	Garlic: 2 cloves (finely sliced)
thumbnail|upright|మైఖేల్ షూమేకర్ ఫార్ములా వన్ చాంపియన్షిప్ ను ఏడుసార్లు గెలుచుకున్నాడు.	thumbnail|right|miochael schumacher won formula champion seven times
లావాదేవీ చేసిన తేదీ నుంచి తీసుకున్న మొత్తాన్ని పూర్తిగా చెల్లించేంత వరకు వడ్డీ విధిస్తారు.	It is calculated from the date of the transaction made till the full payment is made.
పైగా హిందీ భాష కూడా నేర్చుకుంటూ వచ్చాడు.	She is also learning Hindi.
అందుబాటులోవున్న ఆదేశ వరుస ఐచ్చికముల పూర్తి జాబితాను చూడుటకు '%s --help' నడుపుము.	Run '%s --help' to see a full list of available command line options.
మరియు ఈ ఇంజన్‌కు 6-స్పీడ్ మ్యాన్యువల్ మరియు ఆటోమేటిక్ ట్రాన్స్‌మిషన్ గల గేర్‌బాక్స్‌ను అనుసంధానం చేయనున్నారు	This engine is mated to a 6-speed manual and an automatic gearbox.
విదేశాల్లో మొదటి యాత్ర	First trip abroad
2 లక్షలు ఫైన్​ వేస్తాం.	2 lakh fine.
కానీ ఇది నీకు అవకాశం.	But here's your chance.
3000 కోట్లు కేటాయించనున్న‌ట్లు స‌మాచారం.	3000 crore.
సమయం గడిచేకొద్దీ మరింత పుంజుకుంటున్నాయి.	It will grow stronger as the time goes by.
గతుకుల రోడ్డుపై డ్రైవింగ్ చేస్తూ అతడు వాహనంపై నియంత్రణ కోల్పోయాడు.	He lost control over the vehicle and fell on the road.
అలహాబాద్ హైకోర్టు ఆదేశాల మేరకు సిబిఐ ఈ కేసులో రంగంలోకి దిగింది.	The Allahabad high court had ordered the CBI to take over the investigation in the case.
ప్రధాని , దేశాధ్యక్షుడి సంతాపం	President , PM express grief
అయితే నిబంధనలు, ఆంక్షలు ఉంటాయి.	However, there are restrictions.
ఏపీలో మాజీ మంత్రి పైడికొండల మాణిక్యాలరావు కరోనా బారినపడి కన్నుమూశారు.	Former AP Minister P Manikyala Rao dies of coronavirus
అమాయక అనాథ సావిత్రి (సౌందర్య), తెలివైన కంప్యూటర్ ప్రోగ్రామర్ సురేంద్ర (విక్రమ్) చుట్టూ ఈ చిత్ర కథ తిరుగుతుంది.	The film revolves around Savitri (Soundarya), an innocent simple and loving orphan, and Surendra (Vikram), an intelligent computer programmer.
ఎన్డీయేకు 107 మంది సభ్యుల బలముంది.	The NDA has 107 members in the Rajya Sabha.
అంటే ఈ రహదారి మార్గంలో వాహనాల సంఖ్య గణనీయంగా పెరిగింది.	This in turn has led to a drastic rise in the number of vehicles plying on the road.
అక్కడ రెండు ప్రధాన ఎంపికలు అవి ఉన్నాయి:	There are two main treatment options:
కొంతకాలం గడిచింది	Its been a while.
ప్రతిపక్ష నేతకు అసెంబ్లీ నిబంధననలు తెలియని అన్నారు.	He said the Opposition was not aware of the rules.
రెండు హిందుస్థాన్‌లుగా దేశాన్ని విభజన కానివ్వం’ అని రాహుల్‌ మోడీ ప్రభుత్వంపై దుమ్మెత్తిపోశారు.	Rahul said the Modi government was dividing the country into two parts.
ఈ మూవీ ‘డిస్నీ హాట్‌స్టార్‌లో’లో అందుబాటులో ఉంది.	The film is available on Hotstar.
ఎన్నికల వేళ కలవరం .	Sounding the election...
అంటే మరీవిడ ఎవరు?	Who is that?
ఆర్థికపరంగా ఈ పథకాలను అమలు చేయడానికి వీలుగా “సామాజిక భద్రతా నిధి” పేరిట ఒక నిధిని ఏర్పాటు చేశారు.	A Social Security Fund will be created on the financial side in order to implement these schemes.
కాంగ్రెస్ పార్టీ మర్రిచెట్టులాంటిదన్నారు.	The Congress is a bruised party.
ఇరుపక్షాలూ వాదనలు బాగానే చేస్తున్నాయి.	There are good arguments on both sides.
ఆమె ప్రేమను లోకం హర్షించింది.	The world loved her.
ఇంకా ఇందులో డ్యూయల్ టోన్ అల్లాయ్ వీల్స్, చంకీ బాడీ క్లాడింగ్ ఉండొచ్చని అంచనా	It is also expected to feature dual-tone alloy wheels and chunky body cladding around the car adding to the SUV looks
మరుసటి రోజు వీరన్నపేటకు చెందిన ఖతీజా బేగంకు రూ.	The next day, they found Rs.
దీంతో ఒంటరైపోతుంది.	It gets lonely.
పోలీసు చర్యలో తీవ్రత కూడా తగ్గిపోతుంది.	Police action has also gone down.
240x180 డిపిఐ	240x180 dpi
వివిధ అంశాలపై చర్చలు	Discussions to held on various topics
అనే విషయాన్ని వారికే వదిలేశారు.	It was left to them.
నేను ఆన్‌లొకేష‌న్‌కి వెళ్లాను.	I went for the audition.
“ నీ అభివృద్ధి అందరికి తేటగా కనబడు నిమిత్తము వీటిని మనస్కరించుము, వీటియందే సాధకము చేసికొనుము. ” ​ —⁠ 1 తిమోతి 4 :⁠ 15.	Ponder over these things. be absorbed in them, that your advancement may be manifest to all persons. 1 TIMOTHY 4: 15.
అందుకు చాలా కారణాలు ఉండవచ్చు.	There could be many reasons for it.
క్షతగాత్రులలో కొందరి పరిస్థితి విషమంగా ఉందని చెబుతున్నారు.	Some of the injured are said to be in a critical state.
మరో వైపు తమిళంలో కూడా ఈయన రెండు సినిమాలు చేస్తున్నాడు.	She has two more Tamil films in the pipeline.
దీంతో అక్కడి ఇళ్ళు నేలమట్టమయ్యాయి.	The houses were inundated.
తన ఆఫీసుకు సంబంధించిన రూ.	He has an office worth Rs.
ఇందుకు వీరికి ప్రతి నెలా రూ.	For this, Rs.
హోండా, టయోటా, రెనాల్ట్ మూల వేతనం, స్థానాన్ని బట్టి 4-14% వేతన పెంపును ఇచ్చాయి.	Honda, Toyota and Renault have given 4-14% pay hikes.
40 దేశాల్లో తన వ్యాపారాన్ని విస్తరించింది.	The company exports its products in 40 countries.
అతనే చంపేశాడు?	Was he killed?
ఒక్కో-చానల్ హిస్టోగ్రామ్ ప్రదర్శించుము	Display per-channel histogram
ీళ్లంతా చెబితే నేను వినలేదు.	I have not heard what they have said.
ఆయన అంత ప్రజాదరణ పొందలేదు.	He is not popular.
గ్రామీణ ప్రాంతాల్లో 66శాతం మంది సాధారణ కార్మికులకు ఉద్యోగ,ఉపాధి లేకుండా పోయింది.	More than 66 per cent population lived in rural areas and the employment avenues in these areas were shrinking.
మొత్తం మీద కెరీర్‌లో 50వ టెస్టు ఆడుతున్న కోహ్లీ 14వ సెంచరీని నమోదు చేశాడు	Kohli slammed an impressive 14th Test hundred in the first innings to lay foundation of a big first innings total for India
రామ్ చరణ్ హీరోగా బోయపాటి శ్రీను దర్శకత్వంలో తెరకెక్కిన సినిమా ‘వినయ విధేయ రామ’.	Vinaya Vidheya Rama aka VVR is being directed by Boyapati Srinu.
ప్రాథమిక బోధలతోనే సంతృప్తి చెందకండి.	To do so, you need to form a longing for the spiritual food that God provides.
మెహ్రీన్ హీరోయిన్ గా నటించిన ఈ సినిమాను కొత్త దర్శకుడు రమణ తేజ తెరకెక్కించాడు.	Directed by Ramana Teja, the film has Mehreen playing the heroine.
గబ్బర్ ఈజ్ బ్యాక్ తరువాత, దర్శకుడు క్రిష్ తన తెలుగు సినిమా కంచె లో అవకాశం ఇచ్చాడు.	After Gabbar Is Back, director Krish offered his Telugu venture, Kanche, to Bhatt, who received rave reviews for his music and background score.
భారతదేశం స్వాతంత్ర్యం, చైనాలో ప్రభుత్వ మార్పు తరువాత, చైనా, భారతదేశం మధ్య సంబంధాలలో ఈ వివాదం ప్రధాన సమస్యగా మారింది.	Following the independence of India and a change of government in China, the dispute became a major issue in relations between China and India.
ఆయన వారికి జ్ఞానబోధ చేయడం ప్రారంభించారు.	He teach knowledge to all.
దీని వల్లే అనుమానాలు పెరిగిపోతున్నాయి.	This raises doubts.
దీని వల్ల వారికి మంచి ఉద్యోగాలు వస్తాయని అన్నారు.	This will provide them better employment opportunities, he said.
నిద్ర లేదా నిద్ర లేదు	lack of sleep or insomnia
ఒకేసారి ఒకే రాకెట్ ద్వారా 104 ఉపగ్రహాలను ప్రయోగించేందుకు ఇస్రో అన్ని సన్నాహాలు పూర్తి చేసింది.	ISRO has successfully launched 104 satellites simultaneously into space.
ఇప్పటికీ అక్కడ ఆలయం ఉంది.	That temple still exists there.
అంతకు ముందు పార్లమెంట్ ఆవరణలో తెదేపా ఎంపీలు నిరసన చేపట్టారు.	Meanwhile, TDP MPs continued their protest on the premises of Parliament building.
తూర్పు ఇరాక్‌ హలబ్జా నగరానికి 31 కిలోమీటర్ల దూరంలో భూకంప కేంద్రం ఏర్పడింది.	The quake was centred 31 kilometres outside the eastern Iraqi city of Halabja, according to the most recent measurements from the US Geological Survey.
హైదరాబాద్ రేస్ క్లబ్ ఓనర్ సురేందర్ రెడ్డి మనవడు వినాయక్, ఆశ్రిత కొన్నాళ్లుగా ప్రేమించుకుంటున్నారు.	Vinayak Reddy is the grandson of R Surender Reddy, Chairman of Hyderabad Race Club.
కేసును తిరిగి ఎన్జీటీకి పంపిస్తున్నట్లు తెలిపింది.	The case has been handed over to the NIA.
ఫలితాలు ఆకట్టుకున్నాయి ఖచ్చితంగా.	The results are quite striking.
15 మంది బాధితులకు హాస్టల్‌లో ప్రత్యేకంగా చికిత్స అందిస్తున్నారు.	Around 15 patients are being treated in medical camps.
అపెర్ట్యుర్ విలువ:	Aperture Value:
ఇంజన్ మరియు ఇతర సాంకేతిక వివరాలను టాటా ఇంకా వెల్లడించలేదు	Tata Motors has not revealed any other details of the new flagship sedan
మనం కవలలను చాలా సినిమాలలో చూశాం.	We have seen enough of them in the movies.
జాగ్వార్ ఇప్పటికే తమ ఎఫ్-ఫేస్ ఎస్యువిని వివిధ దశలలో ఇండియన్ రహదారుల మీద పరీక్షించింది	Now, Jaguar's F-Pace has been caught testing on Indian roads
ముందస్తుకు మేమూ సిద్ధమే!	We are ready!
ఫేస్‌బుక్‌ నుంచి అక్రమంగా దాదాపు 87 మిలియన్ల మంది ఖాతాదారుల సమాచారాన్ని కేంబ్రిడ్జి అనలిటికా ఉపయోగించుకుందని ఆరోపణలు ఉన్నాయి.	Information of 87 million Facebook users was allegedly used by Cambridge Analytica and used for commercial gains.
బీఎస్సీ అగ్రికల్చర్ పూర్తయ్యాక అతను జాబ్ లో జాయినయ్యాడు.	He joined the BSF after completion of his BSc.
ఆయన కుటుంబ సభ్యులకు ప్రగాఢ సానుభూతి తెలియజేస్తున్నాను.	I give my condolences to his family members.
అమ్మానాన్నలకి ముగ్గురం అమ్మాయిలమే.	Three of them are minor girls.
"""ఎవరాయన"" అని అడిగాను ఆమెతో నాకున్న చనువుతో."	Whos that? I asked petrified.
“తర్వాతేమైంది?	What after this?
ఓటర్లకు ధన్యవాదాలు తెలిపారు.	He thanks voters.
వీటి విలువ దాదాపు 12 లక్షల కోట్ల రూపాయలు. అవును	In value, it would worth nearly Rs 12 lakh crore.
తమ కుమార్తె మృతికి నిత్యానంద, రంజితలే కారణమంటూ మృతురాలి తల్లి పోలీసులను ఆశ్రయించింది.	The mother of the deceased had lodged an FIR with police alleging murder.
కనీసం రాజకీయ ప్రకటనలు కూడా చేసింది లేదు.	We havent made any political statements.
మంటలను అదుపుచేయడానికి సహాయక సిబ్బంది ప్రయత్నిస్తున్నారు.	Security personnel are trying to control the fire.
వివిధ పరిశోధకులు వాటి బాధ్యత మరియు ప్రభుత్వాల బాధ్యత గురించి ప్రశ్నించబడుతున్నారు, అలాగే పరిశోధనను చాలావరకు నిర్వహిస్తారు.	Various researchers are being questioned about their responsibility and governments' responsibility as well in fairly conducting research.
అయితే, విజయం ఒక ధర వద్ద వచ్చింది.	Success, however, came at a price.
ఆమె ఆ పాటలను తల్లిదండ్రుల ముందు ప్రదర్శించగా, వారు ఆమెను గాత్ర తరగతులకు వెళ్లవలసినదిగా సూచించారు.	After observing the lights, he told his mother, who was present at the time, that the lights were aircraft.
భారతీయ నౌకాధికారిగా పనిచేసిన జాదవ్‌ను పాకిస్థాన్ ఇంటలిజెన్స్ సంస్థలు గూఢచారి అన్న ఆరోపణపై బంధించి తీసుకువెళ్లాయి.	Pakistan has accused Jadhav, a former Indian Navy officer, of espionage.
దావీదు సంతతి వారియొద్దనుండి రాజ్యమును తీసి నీకిచ్చి యుండినను, నా ఆజ్ఞలను గైకొని మనఃపూర్తిగా నన్ను అనుసరించి నా దృష్టికి ఏది అనుకూలమో దాని మాత్రమే చేసిన నా సేవకుడైన దావీదు చేసినట్టు నీవు చేయక	and tore the kingdom away from the house of David, and gave it you. and yet you have not been as my servant David, who kept my commandments, and who followed me with all his heart, to do that only which was right in my eyes,
10 వేల‌ చొప్పున నష్టపరిహారం అందించామన్నారు.	10 thousand as compensation.
జుట్టుకి రంగేస్తున్నారా?	Are you losing hair?
ప్రభావాలు జోడించడం	Add more effects
దీనిపై ట్రంప్‌ ట్విట్టర్‌ ద్వారా స్పందించారు.	Trump responded swiftly via Twitter.
వీరి అనుయాయులు (మోషే) ను అవలంబించారు.	Their followers (Moshe) practised.
బాధితురాలిని హాస్పటల్ కు తరలించారు.	The victim was shifted to hospital.
ఇతని ఇన్నింగ్స్‌లో ఏకంగా 11 సిక్సులున్నాయి.	His innings comprised 11 fours.
5 లక్షలను అందించాలని చెప్పారు.	5 lakh would be provided.
విజయవాడలో ఉన్న పార్టీ రాష్ట్ర కార్యదర్శి కర్రి పాపారాయుడు ఫోన్‌లో పరామర్శించారు	YSRCP State Secretary Karri Paparayadu also reached the place and reviewed the situation
25 వేల వరకు వేతనాలు పొందుతున్నారు.	Salary upto 25 thousand.
వాతావరణ శాఖ తెలిపిన దాని ప్రకారం ఈ మాన్సూన్ సీజన్లో ఈస్ట్ రాజస్థాన్, వెస్ట్ మధ్యప్రదేశ్, విదర్భలలో భారీ నుంచి అతి భారీ వర్షాలు, ఈస్టా రాజస్థాన్‌లోని కొన్ని ప్రాంతాలు, మధ్య మహారాష్ట్ర, కొంకణ్, గోవా, చత్తీస్‌గఢ్, ఈస్ట్ మధ్యప్రదేశ్‌లలో భారీ నుంచి అతి భారీ వర్షాలు, జమ్ము కాశ్మీర్‌లోని కొన్ని ప్రాంతాలు, హిమాచల్ ప్రదేశ్, ఉత్తరాఖండ్, పంజాబ్, ఉత్తర ప్రదేశ్, ఒడిశా, సబ్ హిమాలయన్ వెస్ట్ బెంగాల్, సిక్కిం, జార్ఖండ్, తెలంగాణ, అసోం, మేఘాలయ, నాగాలాండ్, మణిపూర్, మిజోరాం, త్రిపుర, అరుణాచల్ ప్రదేశ్, గుజరాత్ ప్రాంతం, కోస్టల్ కర్ణాటక, కేరళలో భారీ వర్షాలు ఉంటాయి	According to the IMD's prediction on the distribution of rainfall this monsoon, Heavy to very heavy rain with extremely heavy falls at isolated places very likely over West Madhya Pradesh and East Rajasthan. heavy to very heavy rain at isolated places over Gujarat Region. heavy rain at isolated places over Assam & Meghalaya, SubHimalayan West Bengal & Sikkim, Konkan & Goa, Madhya Maharashtra, Coastal Karnataka, East Madhya Pradesh, Vidarbha, Jammu & Kashmir, Himachal Pradesh, Uttarakhand , Punjab, Haryana, Chandigarh & Delhi, West Uttar Pradesh and West Rajasthan
ప్రాధాన్యత అంశాలు:	Favourable factors:
బంగ్లాదేశ్ మిత్రదేశం అన్నారు	Bangladesh a friendly country: Mamata Banerjee
న్యూజిలాండ్‌ అద్భుత విజయం	New Zealand win
ఈ స్టేడియంలు 2021 ఏడాదిలోగా పూర్తవుతాయి.	This would be completed by 2021.
అయితే ఇది అంత సమర్థత విషయంలో మాత్రం నిపుణులు పలు సందేహాలు లేవనెత్తుతున్నారు.	However, experts are skeptical of the feasibility.
” అంటూ నవ్వుతూ సమాధానమిచ్చారు.	He laughs in response.
గత ఎన్నికల సమయంలో తెలంగాణలో ఒక్కటి, ఏపీ రాష్ట్రంలో బీజేపీకి రెండు ఎంపీ స్థానాలు దక్కాయి.	And BJP got two MP seats in Andhra Pradesh and one seat in Telangana in the recent elections.
త్వరలో ప్రవేశపెట్టే బడ్జెట్‌లో రూ.	Budget of Rs.
భారీ సంఖ్యలో తరలివెళ్లి ఓటింగ్‌లో పాల్గొనాలని పిలుపునిచ్చారు ప్రధాని మోదీ.	PM Modi urges people to come out in large numbers and vote.
పట్టణ పరిపాలనను నగర పాలికా నిర్వహిస్తుంది.	The Municipal Board conducts the affairs of the town.
కుటుంబంలోని ఆస్తిలో స్త్రీహక్కు పురుషుడి హక్కుతో సమానం.	In family property, woman's right is equal to man' right.
( ఆదికాండము 32: ​ 24 - 28) యాకోబు 147 ఏళ్ల వయసులో చనిపోవడానికి ముందు, తన 12 మంది కుమారుల్లో ప్రతీ ఒక్కరినీ ఆశీర్వదించడానికి కావలసిన బలం కూడదీసుకున్నాడు.	Before he died at the age of 147, Jacob summoned enough strength to bless each of his 12 sons.
ఒక సర్వే ప్రకారం ఒక గాల్ఫర్ మామూలు టూరిస్ట్ కంటే అదనంగా 40-45% సమయం గడుపుతాడని, ఏడాదిలో 2-3 గాల్ఫింగ్ సెలవులు తీసుకుంటాడని తేలింది.	According to a survey, a golfer spends 40-45 more than a normal tourist and takes about 2-3 golfing holidays in a year.
మండుతున్న భారతం	India burning
